ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-150, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=185, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=190, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=195, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=200, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=200, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=200, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=200, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=200, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=200, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=105, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=110, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=115, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=120, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=125, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=130, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=135, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=140, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=145, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=150, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3588978500929964136077781940457)
ResultModel(longCCI=155, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3489862450546125851490244650992)
ResultModel(longCCI=160, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3489862450546125851490244650992)
ResultModel(longCCI=165, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3489862450546125851490244650992)
ResultModel(longCCI=170, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3489862450546125851490244650992)
ResultModel(longCCI=175, shortCCI=5, plus=100, minus=-100, numberOfPositions=2, result=1.3489862450546125851490244650992)
ResultModel(longCCI=105, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=105, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=105, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=110, shortCCI=5, plus=100, minus=-120, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=110, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=110, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=110, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=115, shortCCI=5, plus=100, minus=-125, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=115, shortCCI=5, plus=100, minus=-120, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=115, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=115, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=115, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=120, shortCCI=5, plus=100, minus=-125, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=120, shortCCI=5, plus=100, minus=-120, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=120, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=120, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=120, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=125, shortCCI=5, plus=100, minus=-125, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=125, shortCCI=5, plus=100, minus=-120, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=125, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=125, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=125, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=130, shortCCI=5, plus=100, minus=-125, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=130, shortCCI=5, plus=100, minus=-120, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=130, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=130, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=130, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=135, shortCCI=5, plus=100, minus=-125, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=135, shortCCI=5, plus=100, minus=-120, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=135, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=135, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=135, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=140, shortCCI=5, plus=100, minus=-125, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=140, shortCCI=5, plus=100, minus=-120, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=140, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=140, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=140, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=145, shortCCI=5, plus=100, minus=-115, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=145, shortCCI=5, plus=100, minus=-110, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=145, shortCCI=5, plus=100, minus=-105, numberOfPositions=2, result=1.3434443845592381106306695594262)
ResultModel(longCCI=100, shortCCI=5, plus=105, minus=-100, numberOfPositions=2, result=1.3402608531700660578648123628282)
ResultModel(longCCI=100, shortCCI=5, plus=110, minus=-100, numberOfPositions=2, result=1.3402608531700660578648123628282)
ResultModel(longCCI=105, shortCCI=5, plus=105, minus=-100, numberOfPositions=2, result=1.3402608531700660578648123628282)
ResultModel(longCCI=105, shortCCI=5, plus=110, minus=-100, numberOfPositions=2, result=1.3402608531700660578648123628282)
ResultModel(longCCI=110, shortCCI=5, plus=105, minus=-100, numberOfPositions=2, result=1.3402608531700660578648123628282)
ResultModel(longCCI=110, shortCCI=5, plus=110, minus=-100, numberOfPositions=2, result=1.3402608531700660578648123628282)
ResultModel(longCCI=115, shortCCI=5, plus=105, minus=-100, numberOfPositions=2, result=1.3402608531700660578648123628282)
