ResultModel(adx=31, sma=9, over=1, numberOfPositions=23, result=1.2281204945086144208316130307415)
ResultModel(adx=31, sma=9, over=2, numberOfPositions=23, result=1.2281204945086144208316130307415)
ResultModel(adx=31, sma=9, over=3, numberOfPositions=23, result=1.2281204945086144208316130307415)
ResultModel(adx=31, sma=9, over=4, numberOfPositions=23, result=1.2281204945086144208316130307415)
ResultModel(adx=31, sma=9, over=5, numberOfPositions=23, result=1.2281204945086144208316130307415)
ResultModel(adx=31, sma=9, over=6, numberOfPositions=23, result=1.2281204945086144208316130307415)
ResultModel(adx=48, sma=8, over=9, numberOfPositions=13, result=1.2278500221670389046008960484448)
ResultModel(adx=46, sma=8, over=8, numberOfPositions=15, result=1.2262124508341487856767570415818)
ResultModel(adx=51, sma=8, over=8, numberOfPositions=14, result=1.2260031738442521519583500698820)
ResultModel(adx=51, sma=8, over=9, numberOfPositions=14, result=1.2260031738442521519583500698820)
ResultModel(adx=28, sma=5, over=1, numberOfPositions=29, result=1.2257435017439070973373476287195)
ResultModel(adx=28, sma=5, over=2, numberOfPositions=29, result=1.2257435017439070973373476287195)
ResultModel(adx=28, sma=5, over=3, numberOfPositions=29, result=1.2257435017439070973373476287195)
ResultModel(adx=28, sma=5, over=4, numberOfPositions=29, result=1.2257435017439070973373476287195)
ResultModel(adx=28, sma=5, over=5, numberOfPositions=29, result=1.2257435017439070973373476287195)
ResultModel(adx=28, sma=5, over=6, numberOfPositions=29, result=1.2257435017439070973373476287195)
ResultModel(adx=28, sma=5, over=7, numberOfPositions=29, result=1.2257435017439070973373476287195)
ResultModel(adx=50, sma=7, over=8, numberOfPositions=15, result=1.2256826856362191688470724206557)
ResultModel(adx=50, sma=7, over=9, numberOfPositions=15, result=1.2256826856362191688470724206557)
ResultModel(adx=57, sma=9, over=1, numberOfPositions=20, result=1.2249314309592837581655195264017)
ResultModel(adx=57, sma=9, over=2, numberOfPositions=20, result=1.2249314309592837581655195264017)
ResultModel(adx=57, sma=9, over=3, numberOfPositions=20, result=1.2249314309592837581655195264017)
ResultModel(adx=57, sma=9, over=4, numberOfPositions=20, result=1.2249314309592837581655195264017)
ResultModel(adx=57, sma=9, over=5, numberOfPositions=20, result=1.2249314309592837581655195264017)
ResultModel(adx=30, sma=5, over=1, numberOfPositions=30, result=1.2239946541079198955222421588678)
ResultModel(adx=30, sma=5, over=2, numberOfPositions=30, result=1.2239946541079198955222421588678)
ResultModel(adx=30, sma=5, over=3, numberOfPositions=30, result=1.2239946541079198955222421588678)
ResultModel(adx=30, sma=5, over=4, numberOfPositions=30, result=1.2239946541079198955222421588678)
ResultModel(adx=30, sma=5, over=5, numberOfPositions=30, result=1.2239946541079198955222421588678)
ResultModel(adx=30, sma=5, over=6, numberOfPositions=30, result=1.2239946541079198955222421588678)
ResultModel(adx=45, sma=3, over=9, numberOfPositions=17, result=1.2238207112253850300072760263190)
ResultModel(adx=45, sma=5, over=9, numberOfPositions=17, result=1.2238207112253850300072760263190)
ResultModel(adx=45, sma=6, over=9, numberOfPositions=17, result=1.2238207112253850300072760263190)
ResultModel(adx=46, sma=7, over=9, numberOfPositions=16, result=1.2238174977588326501677478831972)
ResultModel(adx=45, sma=2, over=9, numberOfPositions=16, result=1.2238071435186941353938015939288)
ResultModel(adx=20, sma=2, over=9, numberOfPositions=29, result=1.2237790875553464950674596948650)
ResultModel(adx=53, sma=9, over=1, numberOfPositions=19, result=1.2237007373799447494330926533515)
ResultModel(adx=53, sma=9, over=2, numberOfPositions=19, result=1.2237007373799447494330926533515)
ResultModel(adx=53, sma=9, over=3, numberOfPositions=19, result=1.2237007373799447494330926533515)
ResultModel(adx=53, sma=9, over=4, numberOfPositions=19, result=1.2237007373799447494330926533515)
