Date,Price,Open,High,Low,
4/19/2021,1769.31,1779.50,1790.54,1765.98,
4/20/2021,1777.25,1770.30,1780.77,1763.18,
4/21/2021,1793.46,1778.64,1797.98,1775.95,
4/22/2021,1783.94,1794.15,1798.29,1776.83,
4/23/2021,1777.18,1784.33,1796.06,1770.05,
4/26/2021,1780.19,1776.34,1783.69,1768.70,
4/27/2021,1776.69,1780.42,1785.90,1773.52,
4/28/2021,1781.32,1776.80,1782.85,1762.56,
4/29/2021,1771.24,1780.90,1790.43,1756.19,
4/30/2021,1768.59,1772.90,1773.98,1763.73,
5/3/2021,1792.36,1768.49,1798.22,1765.91,
5/4/2021,1778.48,1792.29,1799.38,1770.84,
5/5/2021,1786.44,1778.91,1788.35,1769.95,
5/6/2021,1815.18,1787.09,1818.21,1781.67,
5/7/2021,1830.48,1815.48,1843.45,1812.90,
5/10/2021,1835.44,1833.24,1845.53,1830.09,
5/11/2021,1836.94,1834.58,1842.32,1817.68,
5/12/2021,1815.44,1837.40,1843.69,1813.00,
5/13/2021,1826.57,1815.90,1828.81,1808.78,
5/14/2021,1842.19,1826.49,1845.55,1819.79,
5/17/2021,1866.13,1843.84,1868.80,1841.24,
5/18/2021,1868.22,1866.59,1875.40,1862.94,
5/19/2021,1869.57,1869.59,1890.15,1851.94,
5/20/2021,1876.69,1869.74,1884.12,1863.53,
5/21/2021,1880.30,1876.84,1889.85,1870.01,
5/24/2021,1881.07,1882.34,1887.44,1875.19,
5/25/2021,1899.26,1880.69,1900.63,1872.73,
5/26/2021,1896.44,1899.49,1913.15,1890.34,
5/27/2021,1896.08,1896.49,1903.87,1888.22,
5/28/2021,1902.64,1897.05,1905.90,1881.84,
5/31/2021,1906.36,1903.69,1911.13,1901.56,
6/1/2021,1900.19,1907.53,1916.84,1892.28,
6/2/2021,1907.94,1900.05,1909.34,1894.05,
6/3/2021,1870.57,1908.09,1909.89,1865.11,
6/4/2021,1889.97,1871.32,1896.60,1856.09,
6/7/2021,1899.00,1888.49,1900.41,1880.88,
6/8/2021,1892.82,1898.99,1903.95,1883.38,
6/9/2021,1888.30,1893.49,1899.40,1886.58,
6/10/2021,1898.14,1888.57,1900.09,1869.84,
6/11/2021,1876.64,1898.42,1903.30,1874.07,
6/14/2021,1865.99,1874.59,1878.21,1844.57,
6/15/2021,1858.69,1866.26,1869.67,1851.28,
6/16/2021,1811.95,1858.96,1862.43,1804.19,
6/17/2021,1773.31,1812.18,1825.58,1766.88,
6/18/2021,1763.34,1772.73,1797.24,1761.04,
6/21/2021,1782.95,1764.44,1786.75,1764.44,
6/22/2021,1778.51,1783.23,1790.42,1771.99,
6/23/2021,1778.73,1778.80,1795.18,1773.13,
6/24/2021,1775.18,1779.01,1788.56,1772.67,
6/25/2021,1780.34,1775.46,1790.60,1773.27,
6/28/2021,1778.18,1781.24,1785.90,1770.69,
6/29/2021,1761.09,1778.44,1779.24,1750.11,
6/30/2021,1769.80,1761.35,1774.72,1752.78,
7/1/2021,1776.60,1770.06,1783.07,1765.47,
7/2/2021,1786.79,1776.83,1795.40,1773.73,
7/5/2021,1791.61,1787.69,1795.69,1784.09,
7/6/2021,1796.69,1791.88,1815.34,1789.91,
7/7/2021,1803.41,1796.96,1810.13,1793.64,
7/8/2021,1802.56,1803.67,1818.70,1794.28,
7/9/2021,1807.98,1802.89,1812.71,1796.09,
7/12/2021,1805.88,1807.94,1811.04,1791.21,
7/13/2021,1807.44,1806.17,1817.51,1798.54,
7/14/2021,1827.06,1807.72,1830.32,1804.21,
7/15/2021,1829.19,1827.35,1833.99,1820.07,
7/16/2021,1810.89,1829.45,1832.20,1808.65,
7/19/2021,1812.34,1811.65,1817.56,1794.66,
7/20/2021,1810.03,1812.61,1825.27,1805.06,
7/21/2021,1803.31,1810.32,1814.02,1794.18,
7/22/2021,1806.69,1803.58,1808.34,1792.11,
7/23/2021,1801.34,1806.95,1810.56,1790.45,
7/26/2021,1797.27,1802.65,1811.97,1795.68,
7/27/2021,1798.73,1797.53,1805.60,1792.83,
7/28/2021,1806.88,1799.00,1809.90,1792.60,
7/29/2021,1827.95,1807.15,1833.05,1806.29,
7/30/2021,1813.58,1828.21,1831.63,1809.48,
8/2/2021,1813.39,1814.34,1819.94,1805.12,
8/3/2021,1809.94,1813.64,1815.18,1806.73,
8/4/2021,1811.41,1810.60,1832.10,1806.54,
8/5/2021,1804.01,1811.69,1815.45,1797.74,
8/6/2021,1762.69,1804.28,1804.93,1758.33,
8/9/2021,1729.46,1763.34,1764.65,1684.77,
8/10/2021,1728.71,1729.74,1738.49,1717.17,
8/11/2021,1751.56,1729.01,1754.63,1723.54,
8/12/2021,1752.44,1751.66,1758.62,1741.29,
8/13/2021,1779.15,1752.72,1780.53,1751.27,
8/16/2021,1787.24,1778.44,1789.51,1770.38,
8/17/2021,1785.96,1787.51,1795.77,1780.28,
8/18/2021,1787.59,1786.21,1794.31,1777.31,
8/19/2021,1780.18,1788.05,1792.56,1774.20,
8/20/2021,1780.87,1780.44,1788.85,1777.96,
8/23/2021,1805.20,1780.55,1806.92,1776.03,
8/24/2021,1802.61,1805.61,1810.03,1799.73,
8/25/2021,1790.68,1802.86,1803.57,1782.45,
8/26/2021,1792.16,1791.09,1798.61,1779.48,
8/27/2021,1816.67,1792.60,1819.38,1787.66,
8/30/2021,1810.17,1817.55,1823.38,1807.28,
8/31/2021,1813.43,1810.26,1819.43,1801.47,
9/1/2021,1813.66,1813.57,1820.21,1808.18,
9/2/2021,1809.40,1813.92,1817.53,1804.48,
9/3/2021,1826.19,1809.98,1834.55,1808.53,
9/6/2021,1823.10,1828.66,1830.60,1820.58,
9/7/2021,1794.13,1823.27,1827.39,1792.33,
9/8/2021,1788.93,1794.41,1802.60,1781.98,
9/9/2021,1794.69,1789.19,1801.19,1783.83,
9/10/2021,1787.34,1794.61,1804.15,1786.53,
9/13/2021,1793.49,1788.55,1798.66,1783.73,
9/14/2021,1804.27,1793.77,1808.99,1781.89,
9/15/2021,1792.59,1804.53,1807.30,1790.28,
9/16/2021,1753.39,1794.34,1796.71,1745.04,
9/17/2021,1754.16,1753.67,1768.22,1747.07,
9/20/2021,1763.88,1754.30,1767.31,1742.24,
9/21/2021,1774.25,1764.19,1782.07,1757.61,
9/22/2021,1767.91,1774.51,1787.51,1764.84,
9/23/2021,1742.57,1768.40,1776.60,1737.84,
9/24/2021,1749.86,1742.82,1758.08,1739.60,
9/27/2021,1749.85,1751.24,1761.29,1744.19,
9/28/2021,1733.68,1750.45,1754.80,1727.18,
9/29/2021,1726.11,1733.97,1746.11,1721.07,
9/30/2021,1756.66,1726.40,1764.53,1721.67,
10/1/2021,1760.36,1756.91,1764.40,1749.36,
10/4/2021,1769.51,1762.15,1771.06,1747.23,
10/5/2021,1759.96,1769.75,1771.03,1748.56,
10/6/2021,1762.48,1760.45,1765.78,1745.45,
10/7/2021,1755.29,1762.74,1767.45,1751.38,
10/8/2021,1756.67,1755.89,1781.60,1753.03,
10/11/2021,1753.86,1757.34,1761.36,1749.68,
10/12/2021,1759.93,1754.12,1769.78,1750.47,
10/13/2021,1792.65,1760.05,1796.31,1757.89,
10/14/2021,1795.56,1792.75,1800.91,1786.22,
10/15/2021,1767.26,1795.81,1796.89,1764.48,
10/18/2021,1764.60,1767.74,1772.30,1759.68,
10/19/2021,1768.87,1764.99,1785.53,1762.48,
10/20/2021,1781.83,1769.28,1788.68,1766.50,
10/21/2021,1782.76,1782.10,1789.61,1776.07,
10/22/2021,1792.48,1782.89,1814.22,1782.46,
10/25/2021,1807.47,1794.00,1810.18,1791.95,
